n_leak,condition,psnr_db,lpips
0,baseline_attack,10.743594407677815,0.821142578125
0,ours_diff_state_attack,7.820360247489935,0.8431396484375
0,ours_same_state_attack,7.188635659240201,0.821533203125
25,baseline_attack,12.876038179956293,0.7794677734375
25,ours_diff_state_attack,8.599325835572264,0.859130859375
25,ours_same_state_attack,12.722375427839788,0.7344970703125
50,baseline_attack,12.819984116807806,0.76923828125
50,ours_diff_state_attack,8.836463520376263,0.8925537109375
50,ours_same_state_attack,12.501994692098227,0.7692626953125
100,baseline_attack,13.01119056571812,0.7599609375
100,ours_diff_state_attack,8.815119835706136,0.864404296875
100,ours_same_state_attack,12.825708722402435,0.7626708984375
250,baseline_attack,13.547089202421764,0.7373779296875
250,ours_diff_state_attack,8.854591169348803,0.855517578125
250,ours_same_state_attack,12.040203676686332,0.7644287109375
500,baseline_attack,13.055950070545117,0.7530517578125
500,ours_diff_state_attack,8.860954850010277,0.8641357421875
500,ours_same_state_attack,12.756874406849656,0.739453125
1000,baseline_attack,16.537661095773956,0.59110107421875
1000,ours_diff_state_attack,8.816931798587367,0.8727294921875
1000,ours_same_state_attack,12.90307982910339,0.7218994140625
2000,baseline_attack,23.536905304523007,0.304583740234375
2000,ours_diff_state_attack,8.512615699114539,0.852783203125
2000,ours_same_state_attack,13.842264477312494,0.68330078125
4000,baseline_attack,23.551082597518477,0.304254150390625
4000,ours_diff_state_attack,8.80573262475876,0.8796630859375
4000,ours_same_state_attack,15.11798461897184,0.61781005859375
16000,baseline_attack,23.550820646555664,0.30423583984375
16000,ours_diff_state_attack,7.388159445747666,0.8368408203125
16000,ours_same_state_attack,21.231796473062335,0.39202880859375
